time,value
3:30:00,5.2
3:30:00,4.5
3:25:00,5.5
3:20:00,4.5
3:15:00,5.5
3:10:00,4.5
3:10:00,5.2
3:05:00,5.5
3:00:00,5.2
2:55:00,5.8
2:50:00,5.5
2:50:00,5.2
2:45:00,5.8
2:35:00,5.8
2:30:00,5.5
2:25:00,6.1
2:15:00,5.5
2:15:00,6.1
2:05:00,5.8
2:05:00,5.2
1:55:00,5.2
1:55:00,6.1
1:55:00,4.8
1:45:00,6.1
1:45:00,5.8
1:35:00,6.1
1:35:00,5.5
1:25:00,6.1
1:15:00,6.1
1:10:00,6.5
1:00:00,6.8
0:55:00,5.8
0:55:00,6.1
0:50:00,6.8
0:45:00,6.1
0:40:00,6.8
0:30:00,6.8
0:25:00,5.8
0:10:00,6.8
0:05:00,6.5
0:00:00,6.8
23:55:00,6.8
23:55:00,7.1
23:50:00,7.7
23:45:00,6.8
23:40:00,7.4
23:35:00,6.8
23:30:00,7.4
23:20:00,7.4
23:15:00,6.5
23:10:00,7.4
23:00:00,7.4
22:50:00,7.1
22:50:00,7.4
22:40:00,6.1
22:40:00,7.4
22:30:00,6.1
22:30:00,7.4
22:30:00,6.8
22:20:00,6.8
22:10:00,6.8
22:05:00,7.4
22:00:00,6.8
21:55:00,7.7
21:50:00,7.4
21:50:00,6.8
21:45:00,8.1
21:35:00,8.1
21:25:00,8.4
21:15:00,8.4
21:05:00,8.4
21:00:00,7.7
20:55:00,8.7
20:50:00,7.4
20:50:00,7.7
20:45:00,8.4
20:35:00,8.4
20:30:00,7.4
20:25:00,8.4
20:20:00,7.1
20:15:00,8.1
20:05:00,8.7
19:55:00,8.7
19:45:00,9.4
19:35:00,9
19:25:00,8.1
19:25:00,8.7
19:15:00,8.4
19:15:00,9.4
19:05:00,8.7
19:05:00,8.1
19:05:00,8.4
18:55:00,8.1
18:50:00,8.4
18:45:00,8.1
18:45:00,8.4
18:40:00,8.7
18:30:00,8.7
18:25:00,8.7
18:20:00,9.4
18:10:00,9.4
18:05:00,9
18:00:00,9.7
17:55:00,9.4
17:50:00,10.3
17:45:00,10
17:40:00,11.6
17:35:00,11.6
17:30:00,12.3
17:20:00,12.6
17:10:00,13.2
17:05:00,12.6
17:00:00,13.5
16:50:00,13.9
16:40:00,15.5
16:20:00,16.1
16:10:00,18.4
16:10:00,16.8
16:00:00,12.9
16:00:00,15.8
15:50:00,12.3
15:40:00,12.3
15:35:00,12.9
15:20:00,11.9
15:15:00,12.6
15:10:00,11.6
15:05:00,12.6
14:55:00,12.9
14:45:00,12.6
14:40:00,11.6
14:35:00,12.3
14:30:00,10.3
14:25:00,11.6
14:20:00,10.3
14:15:00,11.9
13:55:00,12.9
13:45:00,16.1
13:25:00,17.1
13:15:00,18.7
13:05:00,16.8
12:55:00,16.1
12:35:00,15.2
12:20:00,14.8
12:15:00,14.2
12:10:00,14.5
12:05:00,14.2
12:05:00,13.9
12:00:00,14.2
11:55:00,13.5
11:50:00,13.2
11:40:00,14.5
11:35:00,13.9
11:30:00,14.2
11:25:00,14.2
11:20:00,14.8
11:15:00,14.5
11:10:00,15.5
11:05:00,14.5
11:00:00,15.8
10:50:00,16.8
10:45:00,16.5
10:40:00,18.4
10:30:00,18.1
10:20:00,17.4
10:15:00,14.2
10:10:00,15.2
10:05:00,14.2
10:00:00,14.5
